event,count,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms
clip_encode,503,423.64,403.00,503.00,530.80,664.82,1029.00
dino_encode,503,206.14,179.00,286.80,314.90,394.92,763.00
face_encode,503,93.32,73.00,152.00,186.90,316.66,376.00
hnsw_build_clip,1,887.00,887.00,887.00,887.00,887.00,887.00
hnsw_build_dino,1,1429.00,1429.00,1429.00,1429.00,1429.00,1429.00
hnsw_build_face,1,312.00,312.00,312.00,312.00,312.00,312.00
image_query_embedding,10,326.40,306.00,428.80,432.40,435.28,436.00
image_search_ann,10,6.20,2.00,6.50,26.75,42.95,47.00
image_search_face_rerank,10,274.30,273.50,319.70,390.35,446.87,461.00
image_search_total,10,609.10,575.50,739.80,819.90,883.98,900.00
text_encode,15,389.20,54.00,69.40,1563.70,4346.34,5042.00
text_search_ann,15,6.33,1.00,2.00,24.50,66.50,77.00
text_search_total,15,796.27,224.00,420.80,2888.90,7460.18,8603.00
text_translate,15,389.00,164.00,351.20,1283.40,2973.48,3396.00
